title,chinese_title,source_url,original_file_url,publish_date,category
Conducting Remote Regulatory Assessments Questions and Answers:  Guidance for Industry,开展远程监管评估问答：面向行业的指导,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/conducting-remote-regulatory-assessments-questions-and-answers,https://www.fda.gov/media/160173/download,2025-06-24,FDA Guidance
Processes and Practices Applicable to Bioresearch Monitoring Inspections: Draft Guidance for Industry,适用于生物研究监测检查的流程与实践：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/processes-and-practices-applicable-bioresearch-monitoring-inspections,https://www.fda.gov/media/179027/download,2024-06-05,FDA Guidance
Considerations for Complying with 21 CFR 211.110,符合21 CFR 211.110的注意事项,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-complying-21-cfr-211110,https://www.fda.gov/media/184825/download,2025-01-06,FDA Guidance
Control of Nitrosamine Impurities in Human Drugs:  Guidance for Industry,人用药品中亚硝胺杂质的控制：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/control-nitrosamine-impurities-human-drugs,https://www.fda.gov/media/141720/download,2024-09-05,FDA Guidance
Remote Interactive Evaluations of Drug Manufacturing and Bioresearch Monitoring Facilities,药物生产和生物研究监测设施的远程互动评估,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/remote-interactive-evaluations-drug-manufacturing-and-bioresearch-monitoring-facilities,https://www.fda.gov/media/173286/download,2023-10-26,FDA Guidance
Policy for Testing of Alcohol (Ethanol) and Isopropyl Alcohol for Methanol:  Guidance for Industry,酒精（乙醇）和异丙醇中甲醇检测政策：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/policy-testing-alcohol-ethanol-and-isopropyl-alcohol-methanol,https://www.fda.gov/media/173005/download,2023-10-17,FDA Guidance
Alternative Tools: Assessing Drug Manufacturing Facilities Identified in Pending Applications,替代工具：评估待审申请中发现的药品生产设施,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/alternative-tools-assessing-drug-manufacturing-facilities-identified-pending-applications,https://www.fda.gov/media/172290/download,2023-09-22,FDA Guidance
Non-Penicillin Beta-Lactam Drugs:  A CGMP Framework for Preventing Cross-Contamination: Draft Guidance for Industry,非青霉素类β-内酰胺药物：防止交叉污染的CGMP框架：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/non-penicillin-beta-lactam-drugs-cgmp-framework-preventing-cross-contamination-0,https://www.fda.gov/media/159358/download,2022-06-24,FDA Guidance
Risk Management Plans to Mitigate the Potential for Drug Shortages,风险管理计划以缓解潜在的药品短缺情况,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/risk-management-plans-mitigate-potential-drug-shortages,https://www.fda.gov/media/158487/download,2022-05-19,FDA Guidance
Investigating Out-of-Specification (OOS) Test Results for Pharmaceutical Production - Level 2 revision:  Guidance for Industry,药品生产中不合格（OOS）测试结果的调查 - 第2级修订版：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/investigating-out-specification-oos-test-results-pharmaceutical-production-level-2-revision,https://www.fda.gov/media/158416/download,2022-05-16,FDA Guidance
Collecting and Providing 702(b) Portions of FDA Official Samples: Draft Guidance for Industry,收集和提供FDA官方样品的702(b)部分：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/collecting-and-providing-702b-portions-fda-official-samples,https://www.fda.gov/media/155621/download,2022-01-01,FDA Guidance
Field Alert Report Submission: Questions and Answers Guidance for Industry:  Guidance for Industry,现场警报报告提交：行业问答指南：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/field-alert-report-submission-questions-and-answers-guidance-industry,https://www.fda.gov/media/114549/download,2021-07-22,FDA Guidance
Expiration Dating of Unit-Dose Repackaged Solid Oral Dosage Form Drug Products:  Guidance for Industry,单剂量重新包装固体口服剂型药品的效期标注：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/expiration-dating-unit-dose-repackaged-solid-oral-dosage-form-drug-products,https://www.fda.gov/media/70985/download,2020-07-29,FDA Guidance
Current Good Manufacturing Practice—Guidance for Human Drug Compounding Outsourcing Facilities Under Section 503B of the FD&C Act Guidance for Industry: Draft Guidance for Industry,现行药品生产质量管理规范——《联邦食品、药品和化妆品法案》第503B节下人用药物分包外包机构指南 行业指南：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/current-good-manufacturing-practice-guidance-human-drug-compounding-outsourcing-facilities-under,https://www.fda.gov/media/88905/download,2020-01-22,FDA Guidance
Data Integrity and Compliance With Drug CGMP: Questions and Answers:  Guidance for Industry,药品CGMP数据完整性和合规性：问答：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-integrity-and-compliance-drug-cgmp-questions-and-answers,https://www.fda.gov/media/119267/download,2018-12-13,FDA Guidance
Questions and Answers on Current Good Manufacturing Practices for Drugs,药品现行良好生产规范问答,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/questions-and-answers-current-good-manufacturing-practices-drugs,,2018-03-30,FDA Guidance
"Mixing, Diluting, or Repackaging Biological Products Outside the Scope of an Approved Biologics License Application:  Guidance for Industry",在未获批准的生物制品许可申请范围之外进行混合、稀释或重新包装生物制品：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/mixing-diluting-or-repackaging-biological-products-outside-scope-approved-biologics-license,https://www.fda.gov/media/90986/download,2018-01-18,FDA Guidance
Current Good Manufacturing Practice for Medical Gases: Draft Guidance for Industry,医用气体现行良好生产规范：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/current-good-manufacturing-practice-medical-gases,https://www.fda.gov/media/70973/download,2017-06-29,FDA Guidance
2016 Medical Gas Container-Closure Rule Questions and Answers Guidance for Industry:  Guidance for Industry,2016年医用气体容器-密封规则问答：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/2016-medical-gas-container-closure-rule-questions-and-answers-guidance-industry,https://www.fda.gov/media/102638/download,2017-01-17,FDA Guidance
Repackaging of Certain Human Drug Products by Pharmacies and Outsourcing Facilities:  Guidance for Industry,药房和外包机构对某些人用药品的重新包装：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/repackaging-certain-human-drug-products-pharmacies-and-outsourcing-facilities,https://www.fda.gov/media/90978/download,2017-01-13,FDA Guidance
Current Good Manufacturing Practice Requirements for Combination Products:  Guidance for Industry and FDA Staff,组合产品的现行良好生产规范要求：行业指南与FDA工作人员指导,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/current-good-manufacturing-practice-requirements-combination-products,https://www.fda.gov/media/90425/download,2017-01-11,FDA Guidance
Recommended Warning for Over-the-Counter Acetaminophen-Containing Drug Products and Labeling Statements Regarding Serious Skin Reactions,关于含对乙酰氨基酚的非处方药产品及严重皮肤反应相关标签声明的建议性警告,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommended-warning-over-counter-acetaminophen-containing-drug-products-and-labeling-statements,https://www.fda.gov/media/90572/download,2017-01-11,FDA Guidance
Submission of Quality Metrics Data Guidance for Industry,提交质量指标数据的行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/submission-quality-metrics-data-guidance-industry,https://www.fda.gov/media/93012/download,2016-11-25,FDA Guidance
Contract Manufacturing Arrangements for Drugs: Quality Agreements Guidance for Industry:  Guidance for Industry,药品委托生产协议：质量协议行业指南：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/contract-manufacturing-arrangements-drugs-quality-agreements-guidance-industry,https://www.fda.gov/media/86193/download,2016-11-23,FDA Guidance
"Organ-Specific Warnings: Internal Analgesic, Antipyretic, and Antirheumatic Drug Products for Over-the-Counter Human Use —:  Guidance for Industry",器官特异性警告：用于非处方人类使用的内用镇痛、解热和抗风湿药物产品——行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/organ-specific-warnings-internal-analgesic-antipyretic-and-antirheumatic-drug-products-over-counter-0,https://www.fda.gov/media/83588/download,2015-11-17,FDA Guidance
Heparin for Drug and Medical Device Use:  Monitoring Crude Heparin for Quality:  Guidance for Industry,用于药物和医疗器械的肝素：监测粗制肝素的质量：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/heparin-drug-and-medical-device-use-monitoring-crude-heparin-quality,https://www.fda.gov/media/82924/download,2013-06-25,FDA Guidance
Non-Penicillin Beta-Lactam Drugs: A CGMP Framework for Preventing Cross-Contamination:  Guidance for Industry,非青霉素类β-内酰胺药物：防止交叉污染的CGMP框架：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/non-penicillin-beta-lactam-drugs-cgmp-framework-preventing-cross-contamination,https://www.fda.gov/media/79971/download,2013-04-17,FDA Guidance
Pyrogen and Endotoxins Testing: Questions and Answers,热原与内毒素检测：问答,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pyrogen-and-endotoxins-testing-questions-and-answers,https://www.fda.gov/media/83477/download,2012-06-28,FDA Guidance
Media Fills for Validation of Aseptic Preparations for Positron Emission Tomography,用于正电子发射断层扫描无菌制剂验证的介质填充物,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/media-fills-validation-aseptic-preparations-positron-emission-tomography,https://www.fda.gov/media/81974/download,2012-04-11,FDA Guidance
PET Drugs--Current Good Manufacturing Practice (CGMP); Small Entity Compliance Guide,PET药物——现行药品生产质量管理规范（CGMP）；小型企业合规指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pet-drugs-current-good-manufacturing-practice-cgmp-small-entity-compliance-guide,https://www.fda.gov/media/81038/download,2011-08-05,FDA Guidance
Process Validation: General Principles and Practices:  Guidance for Industry,工艺验证：一般原则与实践：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/process-validation-general-principles-and-practices,https://www.fda.gov/media/71021/download,2011-01-25,FDA Guidance
The Use of Mechanical Calibration of Dissolution Apparatus 1 and 2 – Current Good Manufacturing Practice (CGMP):  Guidance for Industry,溶出度仪1和2的机械校准使用——现行药品生产质量管理规范（CGMP）：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/use-mechanical-calibration-dissolution-apparatus-1-and-2-current-good-manufacturing-practice-cgmp,https://www.fda.gov/media/77799/download,2010-01-27,FDA Guidance
PET Drug Products - Current Good Manufacturing Practice (CGMP),PET药物产品 - 当前良好生产规范（CGMP）,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pet-drug-products-current-good-manufacturing-practice-cgmp,https://www.fda.gov/media/71013/download,2009-12-10,FDA Guidance
Pharmaceutical Components at Risk for Melamine Contamination:  Guidance for Industry,可能受到三聚氰胺污染的药品成分：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pharmaceutical-components-risk-melamine-contamination,https://www.fda.gov/media/77196/download,2009-08-06,FDA Guidance
Current Good Manufacturing Practice for Phase 1 Investigational Drugs:  Guidance for Industry,第一阶段试验性药物的现行良好生产规范：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/current-good-manufacturing-practice-phase-1-investigational-drugs,https://www.fda.gov/media/70975/download,2008-07-14,FDA Guidance
Quality Systems Approach to Pharmaceutical Current Good Manufacturing Practice Regulations,药品现行良好生产规范法规的质量体系方法,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/quality-systems-approach-pharmaceutical-current-good-manufacturing-practice-regulations,https://www.fda.gov/media/71023/download,2006-10-02,FDA Guidance
Formal Dispute Resolution:  Scientific and Technical Issues Related to Pharmaceutical CGMP,正式争议解决：与药品CGMP相关的科学和技术问题,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/formal-dispute-resolution-scientific-and-technical-issues-related-pharmaceutical-cgmp,https://www.fda.gov/media/171562/download,2006-01-11,FDA Guidance
"PAT — A Framework for Innovative Pharmaceutical Development, Manufacturing, and Quality Assurance:  Guidance for Industry",PAT——创新药物开发、生产和质量保证的框架：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pat-framework-innovative-pharmaceutical-development-manufacturing-and-quality-assurance,https://www.fda.gov/media/71012/download,2004-10-04,FDA Guidance
Sterile Drug Products Produced by Aseptic Processing — Current Good Manufacturing Practice:  Guidance for Industry,无菌药品的无菌生产工艺——现行良好生产规范：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/sterile-drug-products-produced-aseptic-processing-current-good-manufacturing-practice,https://www.fda.gov/media/71026/download,2004-10-04,FDA Guidance
"Part 11, Electronic Records; Electronic Signatures - Scope and Application:  Guidance for Industry",第11部分，电子记录；电子签名 - 范围与应用：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application,https://www.fda.gov/media/75414/download,2003-09-05,FDA Guidance
"Guidance for Hospitals, Nursing Homes, and Other Health Care Facilities - FDA Public Health Advisory:  Guidance for Hospitals, Nursing Homes, and Other Health Care Facilities",医院、疗养院及其他医疗机构指南 - FDA公共卫生咨询：医院、疗养院及其他医疗机构指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-hospitals-nursing-homes-and-other-health-care-facilities-fda-public-health-advisory,https://www.fda.gov/media/70999/download,2001-04-05,FDA Guidance
Possible Dioxin/PCB Contamination of Drug and Biological Products,药物和生物制品中可能存在的二恶英/多氯联苯污染,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/possible-dioxinpcb-contamination-drug-and-biological-products,https://www.fda.gov/media/71015/download,1999-08-23,FDA Guidance
Good Laboratory Practice Regulations Questions and Answers,良好实验室规范条例问答,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/good-laboratory-practice-regulations-questions-and-answers,https://www.fda.gov/media/70993/download,1998-03-02,FDA Guidance
Expiration Dating and Stability Testing of Solid Oral Dosage Form Drugs Containing Iron:  Guidance for Industry,含铁固体口服剂型药物的效期标注与稳定性测试：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/expiration-dating-and-stability-testing-solid-oral-dosage-form-drugs-containing-iron,https://www.fda.gov/media/70979/download,1997-07-09,FDA Guidance
Preparation of Investigational New Drug Products (Human and Animal):  Guidance for Industry,研究用新药产品（人用和兽用）的制备：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/preparation-investigational-new-drug-products-human-and-animal,https://www.fda.gov/media/71017/download,1992-11-01,FDA Guidance
Review of FDA's Implementation of the Drug Export Amendments of 1986,美国食品药品监督管理局（FDA）实施1986年药品出口修正案的审查,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/review-fdas-implementation-drug-export-amendments-1986,https://www.fda.gov/media/71025/download,1989-11-01,FDA Guidance
