title,chinese_title,category,original_publish_date,publish_date,summary,chinese_summary,original_file_url,source_url
TRS 1033 - Annex 6: World Health Organization/United Nations Population Fund Guidance on testing of male latex condoms,世界卫生组织/联合国人口基金关于男性乳胶避孕套检测的指南,Quality control,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033_annex6-who-unfpa-testing-of-male-latex-condoms.pdf?sfvrsn=94358361_1&download=true,https://www.who.int/publications/m/item/annex-6-trs-1033
TRS 1025 - Annex 4: WHO good chromatography practices,WHO GMP,Quality control,20 May 2021,2021-05-20,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex4.pdf?sfvrsn=53f56dbc_4&download=true,https://www.who.int/publications/m/item/trs1025-annex4
TRS 1025 - Annex 1: The International Pharmacopoeia: Procedure for the development of monographs and other texts,国际药典：专论及其他文本的制定程序,Quality control,1 October 2020,2020-10-01,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex1.pdf?sfvrsn=93fa413e_2&download=true,https://www.who.int/publications/m/item/trs1025-annex1
TRS 1025 - Annex 11: UNFPA-WHO specifications for plain lubricants,联合国人口基金-WHO 普通润滑剂规范,Quality control,30 September 2020,2020-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex11.pdf?sfvrsn=3dd1e3bb_2&download=true,https://www.who.int/publications/m/item/trs-1025-annex-11
TRS 1025 - Annex 10: UNFPA-WHO technical specifications for male latex condoms,联合国人口基金-WHO男性乳胶避孕套技术规范,Quality control,30 September 2020,2020-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex10.pdf?sfvrsn=e9a028d1_2&download=true,https://www.who.int/publications/m/item/trs-1025-annex-10
TRS 1010 - Annex 6: WHO good pharmacopoeial practices: Chapter on compounding,WHO GMP：配制章节,Quality control,1 October 2018,2018-10-01,,,https://cdn.who.int/media/docs/default-source/2021-dha-docs/trs1010_annex6_who_good_pharmacopoeial_practices_compounding.pdf?sfvrsn=92ad3957_1&download=true,https://www.who.int/publications/m/item/trs1010-annex6
TRS 1010 - Annex 4: WHO model certificate of analysis,WHO 模式分析证书,Quality control,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1010_annex4_who_model_certificate_analysis.pdf?sfvrsn=efb98179_1&download=true,https://www.who.int/publications/m/item/trs1010-annex4
TRS 1010 - Annex 7: WHO good pharmacopoeial practices: Chapter on herbal medicines,WHO GMP：草药专章,Quality control,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1010_annex7_who_good_pharmacopoeial_practices_herbal.pdf?sfvrsn=732a9f2a_1&download=true,https://www.who.int/publications/m/item/trs1010-annex7
TRS 1010 - Annex 5: WHO guidance on testing of “suspect” falsified medicines,WHO关于“可疑”假药检测的指导原则,Quality control,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1010-annex5-testing-suspect-samples.pdf?sfvrsn=df47cb5_2&download=true,https://www.who.int/publications/m/item/trs1010-annex5
TRS 1010 - Annex 3: WHO considerations for requesting analysis of medicines samples,WHO 要求对药品样品进行分析的考虑因素,Quality control,30 September 2018,2018-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1010_annex3_analysis_medicines_samples.pdf?sfvrsn=368e0484_1&download=true,https://www.who.int/publications/m/item/trs1010-annex3
TRS 1003 - Annex 1: WHO guidelines for selecting marker substances of herbal origin for quality control of herbal medicines,WHO关于选择草药来源的标志物物质以进行草药药品质量控制的指南,Quality control,30 September 2017,2017-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1003-annex1-marker-substances-herbal-medicine-quality-control.pdf?sfvrsn=f4ac0cca_0&download=true,https://www.who.int/publications/m/item/trs1003-annex1
TRS 1003 - Annex 2: The International Pharmacopoeia: Revised concepts and future perspectives,国际药典：修订的概念与未来展望,Quality control,30 September 2017,2017-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1003-annex2-int-ph-revised-concepts.pdf?sfvrsn=d3574af6_0&download=true,https://www.who.int/publications/m/item/trs1003-annex2
TRS 996 - Annex 1: WHO good pharmacopoeial practices,WHO GMP,Quality control,30 September 2016,2016-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs996-annex1-who-good-pharmacopoeial-practices.pdf?sfvrsn=20a98399_8&download=true,https://www.who.int/publications/m/item/trs996-annex1
TRS 992 - Annex 6: WHO recommendations for quality requirements when plant‑derived artemisinin is used as a starting material in the production of antimalarial active pharmaceutical ingredients,WHO关于在抗疟疾原料药生产中使用植物来源青蒿素作为起始物料时的质量要求建议,Quality control,30 September 2015,2015-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs992-annex6.pdf?sfvrsn=48e1e789_2&download=true,https://www.who.int/publications/m/item/trs-992-annex-6
TRS 992 - Annex 2: The International Pharmacopoeia: Updating mechanism for the section on radiopharmaceuticals,国际药典：放射性药物部分的更新机制,Quality control,30 September 2015,2015-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs992-annex2-int-pha-updating-mechanism-radiopharmaceuticals.pdf?sfvrsn=9b73f4f3_0&download=true,https://www.who.int/publications/m/item/trs992-annex2
TRS 981 - Annex 1: Release procedure for International Chemical Reference Substances,国际化学参考物质的放行程序,Quality control,1 October 2013,2013-10-01,,,https://cdn.who.int/media/docs/default-source/medicines/pharmacopoeia/annex1trs-981.pdf?sfvrsn=a8063434_2&download=true,https://www.who.int/publications/m/item/trs981-annex1
TRS 961 - Annex 13: WHO guidelines for preparing a laboratory information file,WHO制定实验室信息文件的指南,Quality control,30 September 2011,2011-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs961-annex13-guidelines-preparing-laboratory-information-file.pdf?sfvrsn=54d1f397_2&download=true,https://www.who.int/publications/m/item/trs961-annex13
TRS 961 - Annex 2: WHO good practices for pharmaceutical microbiology laboratories,WHO药品微生物实验室GMP良好规范,Quality control,30 September 2011,2011-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs961_annex2_goodpractices_pharmaceutical_microbiology_laboratories.pdf?sfvrsn=3fcf27ea_1&download=true,https://www.who.int/publications/m/item/trs961-annex2
"TRS 943 - Annex 3: WHO general guidelines for the establishment, maintenance and distribution of chemical reference substances",WHO关于化学标准物质的建立、维护和分发的通用指南,Quality control,30 September 2007,2007-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs943-annex3-establishmentmaintenance-distribution-chemica-reference-substances.pdf?sfvrsn=71064286_0&download=true,https://www.who.int/publications/m/item/trs943-annex3
TRS 943 - Annex 1: The International Pharmacopoeia: Related substances tests - dosage form monographs guidance notes,国际药典：有关物质检查——剂型专论指导性说明,Quality control,30 September 2007,2007-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs943-annex1-int-pha-related-substances.pdf?sfvrsn=6e408a40_0&download=true,https://www.who.int/publications/m/item/trs943-annex1
TRS 908 - Annex 1: WHO recommendations on risk of transmitting animal spongiform encephalopathy agents via medicinal products,WHO关于通过药品传播动物源性海绵状脑病病原体风险的建议,Quality control,1 October 2002,2002-10-01,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs908-annex1-animal-spongiform-encephalopathy-agents.pdf?sfvrsn=3a89f635_0&download=true,https://www.who.int/publications/m/item/trs908-annex1
"Basic tests for drugs: pharmaceutical substances, medicinal plant materials and dosage forms - 1998",药品基本检验：原料药、 medicinal plant materials 和制剂 - 1998,Quality control,12 August 1998,1998-08-12,This manual has been designed to be used on conjunction with the two earlier WHO  publications:,本手册旨在与WHO此前的两份出版物配合使用：,https://iris.who.int/bitstream/handle/10665/42020/9241545135.pdf?sequence=1,https://www.who.int/publications/i/item/9241545135
Quality control methods for medicinal plant materials,药用植物原料的GMP质量控制方法,Quality control,1 May 1998,1998-05-01,,,https://iris.who.int/bitstream/handle/10665/41986/9241545100.pdf?sequence=1,https://www.who.int/publications/i/item/9241545100
TRS 1060 - Annex 8: Collaborative registration procedure between WHO and national regulatory authorities in the assessment and accelerated national registration of WHO-prequalified vector control products,世界卫生组织与各国监管机构在评估和加快WHO预认证的病媒控制产品国家注册方面的合作注册程序,Regulatory standards,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/annex-8_collaborative-registration-procedure-between-who-and-nras-vector-control.pdf?sfvrsn=1a3cf392_5&download=true,https://www.who.int/publications/m/item/trs-1060---annex-8--collaborative-registration-procedure-between-who-and-national-regulatory-authorities-in-the-assessment-and-accelerated-national-registration-of-who-prequalified-vector-control-products
TRs 1060 - Annex 7: Good practices of national regulatory authorities in implementing the collaborative registration procedures for medical products,国家药品监管机构实施药品协同注册程序的良好实践,Regulatory standards,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/annex-7_good-practices-of-nras-in-implementing-the-collaborative-registration-procedures-for-medical-products.pdf?sfvrsn=15735b6f_3&download=true,https://www.who.int/publications/m/item/trs-1060---annex-7--good-practices-of-national-regulatory-authorities-in-implementing-the-collaborative-registration-procedures-for-medical-products
"TRS 1060 - Annex 5: WHO Biowaiver List: proposal to waive in vivo bioequivalence requirements for WHO Model List of Essential Medicines immediate-release, solid oral dosage forms",WHO生物豁免清单：关于对WHO基本药物示范清单中速释固体口服制剂免除体内生物等效性要求的建议,Regulatory standards,15 April 2025,2025-04-15,The aim of the WHO Biowaiver List is to enable an informed decision as to whether or not a waiver from in vivo bioequivalence studies could be granted safely according to the WHO guideline on Biopharmaceutics Classification System based biowaivers (1).,WHO生物豁免清单的目的是根据WHO关于基于生物药剂学分类系统进行的生物豁免指南（1），帮助决策是否可以安全地豁免体内生物等效性研究。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/annex-5_who-biowaiver-list.pdf?sfvrsn=ae876a0_3&download=true,https://www.who.int/publications/m/item/trs-1060---annex-5--who-biowaiver-list--proposal-to-waive-in-vivo-bioequivalence-requirements-for-who-model-list-of-essential-medicines-immediate-release--solid-oral-dosage-forms
TRS 1060 - Annex 6: Guideline on bioanalytical method validation and study sample analysis,生物分析方法验证与研究样品分析指南,Regulatory standards,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/annex-6_guideline-on-bioanalytical-method-validation-and-study-sample-analysis.pdf?sfvrsn=4fc96250_3&download=true,https://www.who.int/publications/m/item/trs-1060---annex-6--guideline-on-bioanalytical-method-validation-and-study-sample-analysis
TRS 1052 - Annex 8: Multisource (generic) pharmaceutical products: guidelines on registration requirements to establish interchangeability,多源（仿制药）药品：关于建立可互换性的注册要求指南,Regulatory standards,26 April 2024,2024-04-26,"These guidelines provide recommendations to regulatory authorities when defining requirements for approval of multisource (generic) pharmaceutical products in their respective countries. The guidance provides appropriate in vivo and in vitro requirements to assure interchangeability of the multisource product without compromising the safety, quality and efficacy of the pharmaceutical product.",这些指南为监管机构在各自国家制定多源（仿制）药品的批准要求时提供了建议。该指南提出了适当的体内和体外要求，以确保多源产品的可互换性，同时不损害药品的安全性、质量和有效性。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs1052_annex8.pdf?sfvrsn=277ee0f8_5&download=true,https://www.who.int/publications/m/item/trs-1052---annex-8--multisource-(generic)-pharmaceutical-products--guidelines-on-registration-requirements-to-establish-interchangeability
TRS 1052 - Annex 7: WHO guideline on Biopharmaceutics ClassificationSystem-based biowaivers,WHO基于生物药剂学分类系统的一致性豁免指南,Regulatory standards,26 April 2024,2024-04-26,The WHO guideline on Biopharmaceutics Classification System-based biowaivers will supersede the BCS-based biowaiver section of the WHO Multisource (generic) pharmaceutical products: guidelines on registration requirements to establish interchangeability (1). The purpose of this document is to provide recommendations to support the biopharmaceutics classification of active pharmaceutical ingredients (APIs) and the BCS-based biowaiver of bioequivalence studies for finished pharmaceutical products (FPPs).,WHO基于生物药剂学分类系统的一致性豁免指南将取代WHO多源（仿制）药品：关于确立可互换性的注册要求指南（1）中基于BCS的一致性豁免部分。本文旨在提供相关建议，以支持原料药的生物药剂学分类，以及基于BCS的成品药生物等效性研究一致性豁免。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs1052_annex7.pdf?sfvrsn=8f3d4497_4&download=true,https://www.who.int/publications/m/item/trs-1052---annex-7--who-guideline-on-biopharmaceutics-classificationsystem-based-biowaivers
"TRS 1052 - Annex 6: WHO Biowaiver List: proposal to waive in vivobioequivalence requirements for WHO Model Listof Essential Medicines immediate-release, solid oraldosage forms",WHO生物豁免清单：建议对WHO基本药物标准清单中的速释固体口服剂型免除体内生物等效性要求,Regulatory standards,26 April 2024,2024-04-26,"The WHO solubility classification, also referred to as the WHO Biowaiver List, is a tool for national regulatory authorities and pharmaceutical manufacturing companies, suggesting medical products that are eligible for a waiver from in vivo bioequivalence studies, which are usually necessary to establish the therapeutic equivalence with the originator (comparator). For exemption from an in vivo bioequivalence study, an immediate-release, multisource (generic) product should exhibit very rapid or rapid in vitro dissolution characteristics that are comparable to those of the reference product. A risk-based evaluation should also account for the excipients used in the formulation of the finished pharmaceutical product.",WHO溶解度分类，也被称为WHO生物豁免清单，是供各国监管机构和制药生产企业使用的一种工具，用于推荐可免除体内生物等效性研究的药品。通常，此类研究是确立仿制药（参比制剂）与原研药（对照药）治疗等效性的必要步骤。为获得体内生物等效性研究的豁免，速释型多来源（仿制）产品应表现出与参比产品相当的极快或快速体外溶出特性。此外，基于风险的评估还应考虑成品制剂中所使用的辅料。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs1052_annex6.pdf?sfvrsn=2252177e_4&download=true,https://www.who.int/publications/m/item/trs-1052---annex-6--who-biowaiver-list--proposal-to-waive-in-vivobioequivalence-requirements-for-who-model-listof-essential-medicines-immediate-release--solid-oraldosage-forms
TRS 1052 - Annex 5: WHO/UNFPA female condom generic specification,WHO/UNFPA 女性安全套通用规范,Regulatory standards,26 April 2024,2024-04-26,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/quality-control/trs1052_annex5.pdf?sfvrsn=81780e4d_4&download=true,https://www.who.int/publications/m/item/trs-1052---annex-5--who-unfpa-female-condom-generic-specification
TRS 1044 - Annex 9: WHO/UNFPA guidance on natural rubber latex male condom stability studies,WHO/UNFPA 关于天然橡胶乳胶男用安全套稳定性研究的指导原则,Regulatory standards,30 September 2022,2022-09-30,Manufacturers of natural rubber latex male condoms are required by regulatory  bodies to establish the shelf-life of their products prior to placing them on the  market. The methods and data used to establish the shelf-life are assessed as  part of the regulatory review processes. The United Nations Population Fund  (UNFPA) also requires data supporting shelf-life claims to be submitted as  part of the prequalification process for the procurement of natural rubber latex  male condoms.,天然橡胶乳胶男用避孕套的制造商须根据监管机构的要求，在产品上市前确定其保质期。用于确定保质期的方法和相关数据，将作为监管审查流程的一部分进行评估。此外，联合国人口基金（UNFPA）也要求，在采购天然橡胶乳胶男用避孕套的预审资格认证过程中，提交支持保质期声明的相关数据。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs1044-annex9-guidance-on-natural-rubber-latex-male-condom-stability-studies.pdf?sfvrsn=2feeb777_2&download=true,https://www.who.int/publications/m/item/trs1044-annex9
TRS 1044 - Annex 6: WHO good practices for research and development facilities of pharmaceutical products,WHO 制药产品研发机构的 GMP 实践,Regulatory standards,30 September 2022,2022-09-30,"This annex contains the World Health Organization (WHO) and United Nations  Population Fund (UNFPA) technical specification for TCu380A intrauterine  device (IUD), which is suitable for bulk procurement of the TCu380A IUD for  use in public sector programmes for family planning.",本附件包含世界卫生组织（WHO）和联合国人口基金（UNFPA）针对TCu380A宫内节育器（IUD）的技术规范，该规范适用于公共部门计划生育项目的TCu380A IUD批量采购。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex6-good-practices-for-research-and-dev-facilities-of-pharmaceutical-products.pdf?sfvrsn=e50d092f_3&download=true,https://www.who.int/publications/m/item/trs1044-annex6
TRS 1044 - Annex 10: WHO/UNFPA technical specification for TCu380A intrauterine device,WHO/UNFPA TCu380A型宫内节育器技术规范,Regulatory standards,30 June 2022,2022-06-30,"This annex contains the World Health Organization (WHO) and United Nations  Population Fund (UNFPA) technical specification for TCu380A intrauterine  device (IUD), which is suitable for bulk procurement of the TCu380A IUD for  use in public sector programmes for family planning.",本附件包含世界卫生组织（WHO）和联合国人口基金（UNFPA）针对TCu380A宫内节育器（IUD）的技术规范，适用于公共部门计划生育项目的TCu380A IUD批量采购。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs1044-annex10-technical-specifications-for-tcu380a-intrauterine-device.pdf?sfvrsn=c930269c_2&download=true,https://www.who.int/publications/m/item/trs1044-annex10
TRS 1033 - Annex 7: World Health Organization/United Nations Population Fund guidance on conducting post-market surveillance of condoms,世界卫生组织/联合国人口基金关于开展避孕套上市后监测的指南,Regulatory standards,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033-annex7-who-unfpa-pms-for-condoms.pdf?sfvrsn=93e44a84_1&download=true,https://www.who.int/publications/m/item/annex-7-trs-1033
TRS 1033 - Annex 9: Guidelines on the implementation of the WHO Certification Scheme on the quality of pharmaceutical products moving in international commerce,世界卫生组织（WHO）关于国际药品贸易中药品质量认证计划实施的指南,Regulatory standards,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033_annex9_guidelines-on-implementation-of-cpp.pdf?sfvrsn=c40c033b_1&download=true,https://www.who.int/publications/m/item/annex-9-trs-1033
TRS 1033 - Annex 5: World Health Organization/United Nations Population Fund Recommendations for condom storage and shipping temperatures,世界卫生组织/联合国人口基金关于安全套储存和运输温度的建议,Regulatory standards,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033_annex5-who-unfpa-storage-and-shipping-temperatures-for-condoms.pdf?sfvrsn=dd177d11_1&download=true,https://www.who.int/publications/m/item/annex-5-trs-1033
TRS 1033 - Annex 6: World Health Organization/United Nations Population Fund Guidance on testing of male latex condoms,世界卫生组织/联合国人口基金关于男性乳胶避孕套检测的指南,Regulatory standards,10 October 2021,2021-10-10,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033_annex6-who-unfpa-testing-of-male-latex-condoms.pdf?sfvrsn=94358361_1&download=true,https://www.who.int/publications/m/item/annex-6-trs-1033
TRS 1033 - Annex 11: Good regulatory practices in the regulation of medical products,药品监管中的良好监管规范,Regulatory standards,9 October 2021,2021-10-09,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/trs1033-annex11-good-practices-for-regulation-of-medical-products.pdf?sfvrsn=cf97ea1d_6&download=true,https://www.who.int/publications/m/item/annex-11-trs-1033
TRS 1033 - Annex 10: Good reliance practices in the regulation of medical products: high level principles and considerations,医疗器械产品监管中的良好GMP实践：高级别原则与考量,Regulatory standards,9 October 2021,2021-10-09,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/inspections/grelp-annex-10-trs-1033/trs1033_annex10-good-reliance-practices.pdf?sfvrsn=dd5502cb_17&download=true,https://www.who.int/publications/m/item/annex-10-trs-1033
"TRS 953 - Annex 2, Appendix 1: Stability testing of active pharmaceutical ingredients and finished pharmaceutical products: Stability conditions for WHO Member States by Region",原料药和成品药品的稳定性测试：按区域划分的WHO成员国稳定性条件,Regulatory standards,9 March 2021,2021-03-09,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/trs953-annex2-appendix1-stability-conditions-table-2018.pdf?sfvrsn=74032aec_12&download=true,https://www.who.int/publications/m/item/trs953-annex2-appendix1
TRS 1025 - Annex 2: IAEA - WHO good manufacturing practices for radiopharmaceutical products,国际原子能机构 - WHO 放射性药物产品的 GMP,Regulatory standards,30 September 2020,2020-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex2.pdf?sfvrsn=7aceb0c1_6&download=true,https://www.who.int/publications/m/item/trs1025-annex2
TRS 1025 - Annex 11: UNFPA-WHO specifications for plain lubricants,联合国人口基金-WHO 普通润滑剂规范,Regulatory standards,30 September 2020,2020-09-30,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs1025/trs1025-annex11.pdf?sfvrsn=3dd1e3bb_2&download=true,https://www.who.int/publications/m/item/trs-1025-annex-11
